Service Name,Service Category,Duration (minutes),Currency,Price,Description,Short Description,Virtual/Online Service,Address,City,State,Pincode,Latitude,Longitude
Comprehensive Dental Check-up & Cleaning,Dental Care,45,INR (₹),1500,"This comprehensive service includes a full oral examination, professional scaling and polishing to remove plaque and tartar, a fluoride treatment to strengthen enamel, and a personalized consultation on oral hygiene practices. No preparation is needed, just come with your regular oral hygiene routine.","A complete dental health package including oral examination, professional cleaning, polishing, and a personalized hygiene consultation.",No,"456 Brigade Road, 3rd Floor",Bangalore,Karnataka,560001,12.9757,77.6057
Cardiology Consultation,Doctor Chamber,20,INR (₹),800,"A detailed consultation with a senior cardiologist to discuss heart health, chest pain, hypertension, or other cardiovascular concerns. Please bring any previous medical reports, ECG, or test results for review.","Expert consultation with a senior cardiologist for heart-related issues, hypertension, and chest pain evaluation.",No,"Medi-Corner Plaza, 1st Floor, Lake Road",Kolkata,West Bengal,700029,22.5726,88.3639
Online Mental Wellness Session,Doctor Chamber,50,INR (₹),1200,"A confidential, one-on-one online video session with a certified clinical psychologist. Discuss stress, anxiety, life transitions, and more from the comfort of your home. A secure link will be provided upon booking.","Private, secure video consultation with a certified clinical psychologist for stress, anxiety, and mental wellness.",Yes,N/A,N/A,N/A,N/A,N/A,N/A
At-Home Injection & Dressing Care,Nurse,30,INR (₹),400,"A qualified nurse will visit your home to administer prescribed injections (e.g., Insulin, B12), perform wound dressing changes, and monitor the injection site or wound for any signs of infection.","Professional at-home service for injections, wound dressing, and post-injection care by a qualified nurse.",No,"Nurse Station, Central Health Hub, Sector 12",Pune,Maharashtra,411012,N/A,N/A
Basic Life Support (BLS) Ambulance,Ambulance,0,INR (₹),1500,"24/7 available BLS ambulance equipped with an oxygen cylinder, stretcher, first-aid kit, and a trained emergency technician. For non-critical patient transfer between locations and basic emergency support.","Fully equipped BLS ambulance with oxygen and a trained EMT for safe, non-critical patient transport. Available 24/7.",No,"Emergency Services Depot, NH-48, Near IFFCO Chowk",Gurugram,Haryana,122001,N/A,N/A
Advanced Diabetic Retinopathy Screening,Eye Care,40,INR (₹),2000,"A vital screening for diabetic patients. Includes a detailed retinal examination and retinal imaging (fundus photography) to detect early signs of diabetic retinopathy and prevent vision loss. Please bring your latest blood sugar reports.","Essential retinal screening and imaging for diabetic patients to detect and prevent diabetes-related eye damage.",No,"Vision Plus Eye Clinic, 2nd Circle, Ashok Nagar",Chennai,Tamil Nadu,600083,13.0827,80.2707
Elderly Health Vital Monitoring,Nurse,45,INR (₹),600,"A trained nurse visits the patient's home to check and record vital signs including blood pressure, blood sugar, temperature, and pulse. A basic physical assessment is also conducted, and a report is provided to the family.","At-home vital sign monitoring (BP, sugar, temp) and basic health assessment for the elderly by a qualified nurse.",No,"City Nursing Station, Green Park Main Road",Delhi,Delhi,110016,N/A,N/A
Patient Relocation & Hospital Transfer,Ambulance,0,INR (₹),2500,"Safe and comfortable patient transfer between hospitals or from home to a medical facility. The ambulance is equipped with a stretcher, basic life support equipment, and a trained attendant. Ideal for non-emergency relocations.","Safe, non-emergency patient transfer between locations with a BLS-equipped ambulance and trained attendant.",No,"Medi-Transport Hub, Service Lane, Western Express Highway",Mumbai,Maharashtra,400062,N/A,N/A
Pediatric Growth & Development Check,Doctor Chamber,30,INR (₹),700,"A comprehensive check-up for children to monitor growth milestones, nutritional status, vaccination review, and address common childhood health concerns. Parents are encouraged to bring the child's growth record.","Specialist pediatric check-up to monitor your child's growth, development milestones, and nutritional health.",No,"KidsCare Clinic, 2nd Floor, Elgin Road",Kolkata,West Bengal,700020,N/A,N/A
Teeth Whitening (Zoom),Dental Care,90,INR (₹),12000,"Professional in-chair teeth whitening procedure using the advanced Zoom system for immediate and dramatic results. Includes a pre-whitening oral health check and post-procedure care instructions for long-lasting whiteness.","Advanced in-chair Zoom teeth whitening for instantly brighter, whiter teeth in a single session.",No,"The Smile Studio, 104, Lavelle Road",Bengaluru,Karnataka,560001,N/A,N/A
Comprehensive Contact Lens Fitting,Eye Care,60,INR (₹),1500,"A detailed consultation and fitting session for first-time or experienced contact lens users. Includes eye surface measurement, trial lenses, and training on insertion, removal, and proper lens care hygiene.","Professional contact lens fitting with eye measurement, trial lenses, and training on safe use and maintenance.",No,"ClearSight Opticals, 45, Connaught Place",New Delhi,Delhi,110001,N/A,N/A
Executive Health Check-Up Package,Hospitals,240,INR (₹),8000,"A full-body preventive health screening package. Includes over 70 tests: blood tests, urine analysis, chest X-ray, ECG, cardiac risk markers, pulmonary function test, and consultations with a Physician and Dietitian. Fasting required.","Comprehensive full-body check-up with 70+ tests, imaging, and specialist consultations for preventive health.",No,"Apollo Hospitals, 21, Greams Lane, Off Greams Road",Chennai,Tamil Nadu,600006,N/A,N/A